Unternehmen;Symbol;Valorennummer;Land;Handelswährung;Handels-platform;Papierart;Nennwert;Kotierungs-segment;Rechnungslegungsnorm;Nächste Generalversammlung;Jahresabschlussdatum;Revisionsorgan;Nachhaltigkeitsbericht Opting in;International anerkannter Standard;Primär-kotiert
lastminute.com N.V.;LMN;23806732;NL;CHF;XSWX;BS;0.01;International Reporting Standard;IFRS;;31.12.;KPMG Accountants N.V. - NL[13000121];Nein;;true
Leclanché S.A.;LECN;11030311;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
LEM Holding SA;LEHN;2242762;CH;CHF;XSWX;RS;0.50;International Reporting Standard;IFRS;;31.03.;Ernst & Young AG - CH[500646];Nein;;true
Leonteq AG;LEON;19089118;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Liechtensteinische Landesbank AG;LLBN;35514757;LI;CHF;XSWX;RS;5.00;International Reporting Standard;IFRS;07.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Logitech International S.A.;LOGN;2575132;CH;CHF;XSWX;RS;0.25;International Reporting Standard;US GAAP;09.09.20;31.12.;KPMG AG - CH[501403];Ja;Global Reporting Initiative (GRI);true
Lonza Group AG;LONN;1384101;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];Nein;;true
Luzerner Kantonalbank AG;LUKN;1169360;CH;CHF;XSWX;RS;18.50;Swiss Reporting Standard;Bankengesetz;19.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
MCH Group AG;MCHN;3954285;CH;CHF;XSWX;RS;10.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];Nein;;true
Medacta Group SA;MOVE;46852522;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];Nein;;true
Medartis Holding AG;MED;38620023;CH;CHF;XSWX;RS;0.20;International Reporting Standard;IFRS;23.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Meier Tobler Group AG;MTG;20806262;CH;CHF;XSWX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;30.03.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Metall Zug AG;METN;3982108;CH;CHF;XSWX;RS;25.00;Swiss Reporting Standard;Swiss GAAP FER;30.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
