ISIN;CH0030252883;CH0030252909
SYMBOL;SLI;SLIC
NAME;SLI®;SLIC
;Price;Total Return
YTD Perf.%;    12.130;    12.440;
Date;Close;Close
30.05.2017; 1418.83;   2148.63;
29.05.2017; 1425.76;   2159.12;
26.05.2017; 1425.91;   2159.35;
24.05.2017; 1425.00;   2157.22;
23.05.2017; 1428.46;   2162.45;
22.05.2017; 1429.38;   2163.85;
19.05.2017; 1420.20;   2149.95;
18.05.2017; 1405.43;   2127.60;
17.05.2017; 1412.69;   2138.58;
16.05.2017; 1438.63;   2177.86;
15.05.2017; 1440.14;   2179.79;
12.05.2017; 1442.09;   2181.54;
11.05.2017; 1438.64;   2176.33;
10.05.2017; 1445.74;   2186.00;
09.05.2017; 1446.27;   2186.80;
08.05.2017; 1436.71;   2168.06;
05.05.2017; 1438.97;   2161.10;
04.05.2017; 1432.76;   2151.78;
03.05.2017; 1421.07;   2134.21;
02.05.2017; 1419.37;   2130.76;
28.04.2017; 1409.23;   2115.55;
27.04.2017; 1412.28;   2119.25;
26.04.2017; 1413.65;   2119.55;
25.04.2017; 1403.05;   2103.67;
24.04.2017; 1393.14;   2083.82;
21.04.2017; 1365.74;   2042.83;
20.04.2017; 1367.59;   2045.61;
19.04.2017; 1361.82;   2036.98;
18.04.2017; 1358.52;   2028.94;
13.04.2017; 1374.80;   2052.35;
12.04.2017; 1380.46;   2060.10;
11.04.2017; 1377.10;   2055.09;
10.04.2017; 1373.49;   2049.70;
07.04.2017; 1372.16;   2042.07;
06.04.2017; 1372.61;   2041.50;
05.04.2017; 1370.63;   2038.56;
04.04.2017; 1371.54;   2038.03;
03.04.2017; 1370.70;   2036.78;
31.03.2017; 1376.67;   2045.65;
30.03.2017; 1379.92;   2044.94;
29.03.2017; 1370.45;   2030.90;
28.03.2017; 1360.93;   2016.80;
27.03.2017; 1357.83;   2012.20;
24.03.2017; 1364.50;   2020.59;
23.03.2017; 1366.69;   2023.83;
22.03.2017; 1358.14;   2009.46;
21.03.2017; 1366.20;   2021.38;
20.03.2017; 1378.51;   2039.59;
17.03.2017; 1380.60;   2042.28;
16.03.2017; 1376.49;   2036.20;
15.03.2017; 1376.99;   2030.75;
14.03.2017; 1371.59;   2022.79;
13.03.2017; 1377.34;   2031.27;
10.03.2017; 1375.59;   2028.69;
09.03.2017; 1370.47;   2021.14;
08.03.2017; 1368.42;   2018.12;
07.03.2017; 1366.96;   2015.96;
06.03.2017; 1371.38;   2022.48;
03.03.2017; 1375.24;   2028.17;
02.03.2017; 1373.69;   2025.89;
01.03.2017; 1370.01;   2013.80;
28.02.2017; 1354.02;   1990.29;
27.02.2017; 1350.07;   1984.48;
24.02.2017; 1348.49;   1982.16;
23.02.2017; 1357.62;   1995.58;
22.02.2017; 1361.89;   2001.86;
21.02.2017; 1361.84;   2001.79;
20.02.2017; 1353.97;   1990.22;
17.02.2017; 1347.80;   1981.15;
16.02.2017; 1347.42;   1980.59;
15.02.2017; 1351.05;   1985.93;
14.02.2017; 1342.68;   1973.62;
13.02.2017; 1344.97;   1976.99;
10.02.2017; 1342.69;   1973.63;
09.02.2017; 1337.83;   1966.49;
08.02.2017; 1327.53;   1951.35;
07.02.2017; 1329.73;   1954.58;
06.02.2017; 1324.30;   1946.60;
03.02.2017; 1330.30;   1955.43;
02.02.2017; 1320.46;   1940.96;
01.02.2017; 1327.10;   1950.71;
31.01.2017; 1322.17;   1943.48;
30.01.2017; 1329.89;   1954.81;
27.01.2017; 1339.03;   1968.07;
26.01.2017; 1347.77;   1980.93;
25.01.2017; 1340.02;   1969.53;
24.01.2017; 1315.93;   1934.12;
23.01.2017; 1313.15;   1930.04;
20.01.2017; 1318.59;   1938.04;
19.01.2017; 1319.55;   1939.45;
18.01.2017; 1320.49;   1940.83;
