"CubeId";"devkum"
"PublishingDate";"2019-09-02 14:30"

"Date";"D0";"D1";"Value"
"2002-11";"M1";"EUR1";"1.4756"
"2002-11";"M1";"GBP1";"2.3029"
"2002-11";"M1";"USD1";"1.487"
"2002-11";"M1";"BRL100";"41.7"
"2002-11";"M1";"ZAR1";"0.1602"
"2002-11";"M1";"JPY100";"1.213"
"2002-11";"M1";"HKD100";"19.0668"
"2002-12";"M1";"EUR1";"1.4525"
"2002-12";"M1";"GBP1";"2.2323"
"2002-12";"M1";"USD1";"1.3872"
"2002-12";"M1";"BRL100";"39.1"
"2002-12";"M1";"ZAR1";"0.1601"
"2002-12";"M1";"JPY100";"1.169"
"2002-12";"M1";"HKD100";"17.7871"
"2003-01";"M1";"EUR1";"1.4671"
"2003-01";"M1";"GBP1";"2.2436"
"2003-01";"M1";"USD1";"1.3562"
"2003-01";"M1";"BRL100";"38.1"
"2003-01";"M1";"ZAR1";"0.1573"
"2003-01";"M1";"JPY100";"1.1387"
"2003-01";"M1";"HKD100";"17.387"
"2003-02";"M1";"EUR1";"1.463"
"2003-02";"M1";"GBP1";"2.147"
"2003-02";"M1";"USD1";"1.3606"
"2003-02";"M1";"BRL100";"38.2"
"2003-02";"M1";"ZAR1";"0.1686"
"2003-02";"M1";"JPY100";"1.1554"
"2003-02";"M1";"HKD100";"17.4454"
"2003-03";"M1";"EUR1";"1.4765"
"2003-03";"M1";"GBP1";"2.1395"
"2003-03";"M1";"USD1";"1.358"
"2003-03";"M1";"BRL100";"40.4"
"2003-03";"M1";"ZAR1";"0.1707"
"2003-03";"M1";"JPY100";"1.1428"
"2003-03";"M1";"HKD100";"17.4114"
"2003-04";"M1";"EUR1";"1.5116"
"2003-04";"M1";"GBP1";"2.1658"
"2003-04";"M1";"USD1";"1.3595"
"2003-04";"M1";"BRL100";"46.6"
"2003-04";"M1";"ZAR1";"0.19"
"2003-04";"M1";"JPY100";"1.1375"
"2003-04";"M1";"HKD100";"17.4304"
"2003-05";"M1";"EUR1";"1.5292"
"2003-05";"M1";"GBP1";"2.1295"
"2003-05";"M1";"USD1";"1.292"
"2003-05";"M1";"BRL100";"43.9"
"2003-05";"M1";"ZAR1";"0.1598"
"2003-05";"M1";"JPY100";"1.0886"
"2003-05";"M1";"HKD100";"16.5669"
"2003-06";"M1";"EUR1";"1.5518"
"2003-06";"M1";"GBP1";"2.2359"
"2003-06";"M1";"USD1";"1.3561"
"2003-06";"M1";"BRL100";"47"
"2003-06";"M1";"ZAR1";"0.1833"
"2003-06";"M1";"JPY100";"1.1318"
"2003-06";"M1";"HKD100";"17.3892"
"2003-07";"M1";"EUR1";"1.5479"
"2003-07";"M1";"GBP1";"2.2017"
"2003-07";"M1";"USD1";"1.3663"
"2003-07";"M1";"BRL100";"46"
"2003-07";"M1";"ZAR1";"0.1827"
"2003-07";"M1";"JPY100";"1.1369"
"2003-07";"M1";"HKD100";"17.5178"
"2003-08";"M1";"EUR1";"1.5373"
"2003-08";"M1";"GBP1";"2.2282"
"2003-08";"M1";"USD1";"1.4093"
"2003-08";"M1";"BRL100";"47.6"
"2003-08";"M1";"ZAR1";"0.1914"
"2003-08";"M1";"JPY100";"1.2037"
"2003-08";"M1";"HKD100";"18.0691"
"2003-09";"M1";"EUR1";"1.5383"
"2003-09";"M1";"GBP1";"2.2083"
"2003-09";"M1";"USD1";"1.3192"
"2003-09";"M1";"BRL100";"45.1"
"2003-09";"M1";"ZAR1";"0.1879"
"2003-09";"M1";"JPY100";"1.1947"
"2003-09";"M1";"HKD100";"17.0397"
"2003-10";"M1";"EUR1";"1.5492"
"2003-10";"M1";"GBP1";"2.2535"
"2003-10";"M1";"USD1";"1.331"
"2003-10";"M1";"BRL100";"46.7"
"2003-10";"M1";"ZAR1";"0.1919"
"2003-10";"M1";"JPY100";"1.2199"
"2003-10";"M1";"HKD100";"17.1357"
"2003-11";"M1";"EUR1";"1.5485"
"2003-11";"M1";"GBP1";"2.2229"
"2003-11";"M1";"USD1";"1.2938"
"2003-11";"M1";"BRL100";"43.9"
