symbol,inception
SECT,2017-09-05
MFUS,2017-08-31
MFEM,2017-08-31
MFDX,2017-08-31
FLMI,2017-08-31
FLMB,2017-08-31
BAR,2017-08-31
DWPP,2012-08-30
YESR,2016-09-21
FPEI,2017-08-23
FMDG,2017-08-21
FFIU,2017-08-21
EMBU,2017-08-17
ULBR,2017-08-15
DLBR,2017-08-15
AMCA,2017-08-08
EDOW,2017-08-08
DMRL,2017-07-31
DMRM,2017-07-31
DMRS,2017-07-31
DMRI,2017-07-31
EQRR,2017-07-26
USOD,2017-07-20
EMXC,2017-07-18
USEQ,2017-07-13
EUXL,2017-07-12
SQLV,2017-07-12
SPMV,2017-07-12
SUSB,2017-07-12
SUSC,2017-07-12
FANZ,2017-07-11
HYDB,2017-07-11
IGEB,2017-07-11
RGLB,2017-07-11
REFA,2017-07-11
REEM,2017-07-11
IBD,2017-07-10
PREF,2017-07-10
FNG,2017-07-11
SMMD,2017-07-06
USMF,2017-06-29
VESH,2017-06-28
TTAI,2017-06-28
OCIO,2017-06-28
GOAU,2017-06-28
GSSC,2017-06-27
VSMV,2017-06-22
RNDM,2017-06-20
RNDV,2017-06-20
RNEM,2017-06-20
RNLC,2017-06-20
RNMC,2017-06-20
RNSC,2017-06-20
FCAL,2017-06-20
GMFL,2017-06-20
ICOW,2017-06-16
CALF,2017-06-16
PPLN,2017-06-12
BVAL,2017-06-13
GIGB,2017-06-06
NUDM,2017-06-07
NUEM,2017-06-07
FFTI,2017-06-05
FFHG,2017-06-05
AMLX,2017-06-01
AGT,2017-04-25
CCOR,2017-05-24
LRGE,2017-05-22
YLDE,2017-05-22
COMB,2017-05-22
COMG,2017-05-22
JPST,2017-05-17
SHAG,2017-05-18
CSML,2017-05-16
LVIN,2017-05-10
LVUS,2017-05-10
GDVD,2017-05-09
VMOT,2017-05-03
CACG,2017-05-03
DFEN,2017-05-03
MEXX,2017-05-03
TPOR,2017-05-03
UTSL,2017-05-03
DUSL,2017-05-03
EVIX,2017-05-02
EXIV,2017-05-02
FLQL,2017-04-26
FLQM,2017-04-26
FLQS,2017-04-26
USOI,2017-04-25
TETF,2017-04-20
VSDA,2017-04-18
IBML,2017-04-11
ICAN,2017-04-11
ERM,2017-04-10
TERM,2017-04-10
TAIL,2017-04-06
SPVM,2017-04-06
XSHQ,2017-04-06
JPGB,2017-04-06
ARCM,2017-03-31
NUSA,2017-03-31
COM,2017-03-30
CWAI,2017-03-30
BEF,2017-03-30
BCD,2017-03-30
BCI,2017-03-30
OILD,2017-03-24
OILU,2017-03-24
IDEV,2017-03-21
ONTL,2017-03-22
HCOR,2017-03-21
HQBD,2017-03-21
CEFS,2017-03-21
SQZZ,2017-03-21
GAZB,2017-03-08
PAVE,2017-03-06
GRNB,2017-03-03
ISMD,2017-02-28
BLES,2017-02-28
PSMM,2017-02-23
PSMG,2017-02-23
PSMB,2017-02-23
PSMC,2017-02-23
TBLU,2017-02-16
HYLV,2017-02-15
FIXD,2017-02-14
BOSS,2017-02-13
XMX,2017-02-10
PFFR,2017-02-07
GLDW,2017-01-27
FLIO,2017-01-25
QXTR,2017-01-25
QXRR,2017-01-25
QXGG,2017-01-25
QXMI,2017-01-25
XUSA,2017-01-25
CUMB,2017-01-17
CLTL,2017-01-11
DWLD,2017-01-11
DFNL,2017-01-11
DUSA,2017-01-11
SWIN,2017-01-10
SPLZ,2017-01-05
UTLZ,2017-01-05
WTIU,2017-01-04
WTID,2017-01-04
OUSM,2016-12-30
XU,2016-12-30
XM,2016-12-30
XK,2016-12-30
XI,2016-12-30
XH,2016-12-30
XF,2016-12-30
XE,2016-12-30
XD,2016-12-30
XS,2016-12-30
INFR,2016-12-29
BMLP,2016-12-19
WBIY,2016-12-19
NURE,2016-12-19
COWZ,2016-12-16
JHMD,2016-12-15
NULV,2016-12-14
NULG,2016-12-14
NUMV,2016-12-14
NUMG,2016-12-14
NUSC,2016-12-14
DIVO,2016-12-14
WEAR,2016-12-09
UWT,2016-12-08
DWT,2016-12-08
SGQI,2016-12-07
HYLB,2016-12-07
BLHY,2016-12-05
ESGU,2016-12-01
XSHD,2016-12-01
IDHD,2016-12-01
BNDC,2016-11-18
LVHE,2016-11-17
OILB,2016-11-17
VNLA,2016-11-17
JPSE,2016-11-15
EFAS,2016-11-14
DHDG,2016-11-04
MENU,2016-11-04
FLEU,2016-11-03
CWEB,2016-11-02
GVIP,2016-11-02
IMTB,2016-11-01
ACSI,2016-11-01
TCTL,2016-10-28
ESGL,2016-10-28
ESGF,2016-10-27
MVIN,2016-10-25
IFIX,2016-10-25
IGVT,2016-10-25
EEMX,2016-10-24
EFAX,2016-10-24
LVHB,2016-10-20
WSKY,2016-10-12
RORE,2016-10-03
FLCO,2016-10-03
KOR,2016-09-28
TTAC,2016-09-28
MCEF,2016-09-26
FCEF,2016-09-26
OILK,2016-09-26
VRIG,2016-09-22
PSC,2016-09-21
RCOM,2016-09-21
DWAC,2016-09-21
PFV,2016-09-21
CWS,2016-09-20
FLLV,2016-09-20
USMR,2016-09-20
FTXO,2016-09-20
FTXG,2016-09-20
FTXN,2016-09-20
FTXH,2016-09-20
FTXD,2016-09-20
FTXL,2016-09-20
FTXR,2016-09-19
ITMS,2016-09-17
ITML,2016-09-19
NUAG,2016-09-16
JPHY,2016-09-14
BSJO,2016-09-14
BSCQ,2016-09-14
JPHF,2016-09-14
IBDR,2016-09-13
SNSR,2016-09-12
BOTZ,2016-09-12
FINX,2016-09-12
FDVV,2016-09-12
FDRR,2016-09-12
FDLO,2016-09-12
FDMO,2016-09-12
FQAL,2016-09-12
FVAL,2016-09-07
SMMV,2016-09-07
GBIL,2016-09-06
DULL,2016-09-08
SHNY,2016-09-08
IMED,2016-08-31
FINQ,2016-08-31
HDMV,2016-08-25
HUSV,NA
GENY,2016-08-19
BTEC,2016-08-19
PMPT,2016-08-16
MLPE,2016-08-11
EUFS,2016-08-10
WTRX,2016-08-09
MELT,2016-07-27
EUFL,2016-07-27
LVHI,2016-07-27
WBIR,2016-07-25
PRNT,2016-07-18
DWLV,2016-07-14
EYLD,2016-07-14
ESG,2016-07-13
ESGG,2016-07-13
XIVH,2016-07-13
BSWN,2016-07-13
LSVX,2016-07-13
IGEM,2016-07-13
KRMA,2016-07-11
REML,2016-07-11
SCAP,2016-07-10
OEW,2016-06-30
ESGE,2016-06-28
ESGD,2016-06-28
DESC,2016-06-28
XTH,2016-06-28
XWEB,2016-06-28
OILD,2016-06-28
OILU,2016-06-28
TALL,2016-06-27
HYDD,2016-06-16
HYXE,2016-06-14
FALN,2016-06-14
RFEM,2016-06-14
RFUN,2016-06-14
RFCI,2016-06-14
ESGW,2016-06-13
ESGN,2016-06-13
ESGS,2016-06-13
CNYA,2016-06-13
BEMO,2016-06-09
SLIM,2016-06-08
ORG,2016-06-08
OLD,2016-06-08
FITS,2016-06-08
SPDN,2016-06-08
RFFC,2016-06-01
RFDA,2016-06-07
DWFI,2016-06-01
FLQD,2016-06-01
FLQH,2016-06-01
FLQE,2016-06-01
FLQG,2016-06-01
EPRF,2016-05-24
IGRO,2016-05-19
FAAR,2016-05-19
AMJL,2016-05-17
LNGR,2016-05-11
BFIT,2016-05-11
ERGF,2016-05-10
FNCF,2016-05-10
HCRF,2016-05-10
CNSF,2016-05-10
INDF,2016-05-10
MATF,2016-05-10
TCHF,2016-05-10
UTLF,2016-05-10
CNDF,2016-05-10
OVLC,2016-05-10
AGGE,2016-05-10
AGGP,2016-05-10
BMLA,2016-05-09
MILN,2016-05-04
VMIN,2016-05-03
VMAX,2016-05-03
WFIG,2016-04-27
SFIG,2016-04-27
WFHY,2016-04-27
SFHY,2016-04-27
WIZE,2016-04-26
